open,high,low,close,volume,date
288.89,288.89,288.89,288.89,289.0,2005-05-05 05:45:00
288.79,288.79,288.79,288.79,289.0,2005-05-09 05:45:00
289.34,289.34,289.34,289.34,289.0,2005-05-10 05:45:00
285.33,285.33,285.33,285.33,285.0,2005-05-11 05:45:00
285.42,285.42,285.42,285.42,285.0,2005-05-12 05:45:00
285.52,285.52,285.52,285.52,286.0,2005-05-15 05:45:00
284.52,284.52,284.52,284.52,285.0,2005-05-16 05:45:00
283.12,283.12,283.12,283.12,283.0,2005-05-17 05:45:00
281.39,281.39,281.39,281.39,281.0,2005-05-18 05:45:00
280.43,280.43,280.43,280.43,280.0,2005-05-19 05:45:00
279.73,279.73,279.73,279.73,280.0,2005-05-22 05:45:00
276.85,276.85,276.85,276.85,277.0,2005-05-24 05:45:00
275.46,275.46,275.46,275.46,275.0,2005-05-25 05:45:00
276.35,276.35,276.35,276.35,276.0,2005-05-26 05:45:00
278.43,278.43,278.43,278.43,278.0,2005-05-29 05:45:00
279.09,279.09,279.09,279.09,279.0,2005-05-30 05:45:00
279.9,279.9,279.9,279.9,280.0,2005-05-31 05:45:00
280.15,280.15,280.15,280.15,280.0,2005-06-01 05:45:00
280.97,280.97,280.97,280.97,281.0,2005-06-02 05:45:00
281.61,281.61,281.61,281.61,282.0,2005-06-05 05:45:00
281.4,281.4,281.4,281.4,281.0,2005-06-06 05:45:00
280.99,280.99,280.99,280.99,281.0,2005-06-07 05:45:00
280.39,280.39,280.39,280.39,280.0,2005-06-08 05:45:00
280.08,280.08,280.08,280.08,280.0,2005-06-09 05:45:00
279.72,279.72,279.72,279.72,280.0,2005-06-12 05:45:00
278.75,278.75,278.75,278.75,279.0,2005-06-13 05:45:00
277.79,277.79,277.79,277.79,278.0,2005-06-14 05:45:00
277.83,277.83,277.83,277.83,278.0,2005-06-15 05:45:00
277.88,277.88,277.88,277.88,278.0,2005-06-16 05:45:00
277.87,277.87,277.87,277.87,278.0,2005-06-19 05:45:00
278.88,278.88,278.88,278.88,279.0,2005-06-20 05:45:00
280.84,280.84,280.84,280.84,281.0,2005-06-21 05:45:00
281.15,281.15,281.15,281.15,281.0,2005-06-22 05:45:00
280.82,280.82,280.82,280.82,281.0,2005-06-26 05:45:00
280.39,280.39,280.39,280.39,280.0,2005-06-27 05:45:00
281.06,281.06,281.06,281.06,281.0,2005-06-28 05:45:00
281.54,281.54,281.54,281.54,282.0,2005-06-29 05:45:00
281.15,281.15,281.15,281.15,281.0,2005-06-30 05:45:00
281.28,281.28,281.28,281.28,281.0,2005-07-03 05:45:00
281.26,281.26,281.26,281.26,281.0,2005-07-04 05:45:00
282.51,282.51,282.51,282.51,283.0,2005-07-05 05:45:00
284.29,284.29,284.29,284.29,284.0,2005-07-06 05:45:00
285.07,285.07,285.07,285.07,285.0,2005-07-10 05:45:00
285.04,285.04,285.04,285.04,285.0,2005-07-11 05:45:00
286.21,286.21,286.21,286.21,286.0,2005-07-12 05:45:00
286.35,286.35,286.35,286.35,286.0,2005-07-13 05:45:00
286.67,286.67,286.67,286.67,287.0,2005-07-14 05:45:00
287.9,287.9,287.9,287.9,288.0,2005-07-17 05:45:00
288.03,288.03,288.03,288.03,288.0,2005-07-18 05:45:00
289.93,289.93,289.93,289.93,290.0,2005-07-19 05:45:00
290.88,290.88,290.88,290.88,291.0,2005-07-20 05:45:00
291.97,291.97,291.97,291.97,292.0,2005-07-24 05:45:00
292.47,292.47,292.47,292.47,292.0,2005-07-25 05:45:00
294.3,294.3,294.3,294.3,294.0,2005-07-26 05:45:00
294.62,294.62,294.62,294.62,295.0,2005-07-27 05:45:00
295.89,295.89,295.89,295.89,296.0,2005-07-28 05:45:00
296.78,296.78,296.78,296.78,297.0,2005-07-31 05:45:00
299.61,299.61,299.61,299.61,300.0,2005-08-01 05:45:00
300.88,300.88,300.88,300.88,301.0,2005-08-02 05:45:00
305.2,305.2,305.2,305.2,305.0,2005-08-03 05:45:00
305.87,305.87,305.87,305.87,306.0,2005-08-04 05:45:00
305.2,305.2,305.2,305.2,305.0,2005-08-07 05:45:00
300.55,300.55,300.55,300.55,301.0,2005-08-08 05:45:00
297.71,297.71,297.71,297.71,298.0,2005-08-09 05:45:00
297.83,297.83,297.83,297.83,298.0,2005-08-10 05:45:00
300.8,300.8,300.8,300.8,301.0,2005-08-11 05:45:00
300.94,300.94,300.94,300.94,301.0,2005-08-14 05:45:00
300.58,300.58,300.58,300.58,301.0,2005-08-15 05:45:00
300.05,300.05,300.05,300.05,300.0,2005-08-16 05:45:00
298.85,298.85,298.85,298.85,299.0,2005-08-17 05:45:00
297.06,297.06,297.06,297.06,297.0,2005-08-18 05:45:00
295.45,295.45,295.45,295.45,295.0,2005-08-21 05:45:00
293.65,293.65,293.65,293.65,294.0,2005-08-22 05:45:00
289.57,289.57,289.57,289.57,290.0,2005-08-23 05:45:00
292.08,292.08,292.08,292.08,292.0,2005-08-24 05:45:00
293.58,293.58,293.58,293.58,294.0,2005-08-25 05:45:00
293.85,293.85,293.85,293.85,294.0,2005-08-28 05:45:00
293.29,293.29,293.29,293.29,293.0,2005-08-29 05:45:00
291.61,291.61,291.61,291.61,292.0,2005-08-30 05:45:00
290.56,290.56,290.56,290.56,291.0,2005-08-31 05:45:00
289.4,289.4,289.4,289.4,289.0,2005-09-01 05:45:00
293.42,293.42,293.42,293.42,293.0,2005-09-04 05:45:00
296.76,296.76,296.76,296.76,297.0,2005-09-05 05:45:00
298.33,298.33,298.33,298.33,298.0,2005-09-06 05:45:00
298.23,298.23,298.23,298.23,298.0,2005-09-07 05:45:00
296.22,296.22,296.22,296.22,296.0,2005-09-08 05:45:00
294.95,294.95,294.95,294.95,295.0,2005-09-11 05:45:00
293.75,293.75,293.75,293.75,294.0,2005-09-12 05:45:00
293.81,293.81,293.81,293.81,294.0,2005-09-13 05:45:00
293.92,293.92,293.92,293.92,294.0,2005-09-14 05:45:00
293.35,293.35,293.35,293.35,293.0,2005-09-15 05:45:00
292.67,292.67,292.67,292.67,293.0,2005-09-18 05:45:00
293.11,293.11,293.11,293.11,293.0,2005-09-19 05:45:00
292.85,292.85,292.85,292.85,293.0,2005-09-20 05:45:00
293.69,293.69,293.69,293.69,294.0,2005-09-21 05:45:00
294.12,294.12,294.12,294.12,294.0,2005-09-22 05:45:00
294.89,294.89,294.89,294.89,295.0,2005-09-25 05:45:00
294.67,294.67,294.67,294.67,295.0,2005-09-26 05:45:00
296.2,296.2,296.2,296.2,296.0,2005-09-27 05:45:00
297.17,297.17,297.17,297.17,297.0,2005-09-28 05:45:00
296.98,296.98,296.98,296.98,297.0,2005-09-29 05:45:00
296.37,296.37,296.37,296.37,296.0,2005-10-02 05:45:00
296.55,296.55,296.55,296.55,297.0,2005-10-05 05:45:00
296.98,296.98,296.98,296.98,297.0,2005-10-06 05:45:00
297.34,297.34,297.34,297.34,297.0,2005-10-09 05:45:00
297.66,297.66,297.66,297.66,298.0,2005-10-18 05:45:00
298.11,298.11,298.11,298.11,298.0,2005-10-19 05:45:00
298.35,298.35,298.35,298.35,298.0,2005-10-20 05:45:00
302.83,302.83,302.83,302.83,303.0,2005-10-23 05:45:00
306.63,306.63,306.63,306.63,307.0,2005-10-24 05:45:00
305.32,305.32,305.32,305.32,305.0,2005-10-25 05:45:00
304.99,304.99,304.99,304.99,305.0,2005-10-26 05:45:00
305.73,305.73,305.73,305.73,306.0,2005-10-27 05:45:00
307.57,307.57,307.57,307.57,308.0,2005-10-30 05:45:00
307.22,307.22,307.22,307.22,307.0,2005-10-31 05:45:00
307.42,307.42,307.42,307.42,307.0,2005-11-06 05:45:00
303.94,303.94,303.94,303.94,304.0,2005-11-07 05:45:00
306.15,306.15,306.15,306.15,306.0,2005-11-08 05:45:00
307.98,307.98,307.98,307.98,308.0,2005-11-10 05:45:00
306.15,306.15,306.15,306.15,306.0,2005-11-13 05:45:00
305.01,305.01,305.01,305.01,305.0,2005-11-14 05:45:00
302.39,302.39,302.39,302.39,302.0,2005-11-15 05:45:00
300.58,300.58,300.58,300.58,301.0,2005-11-16 05:45:00
300.64,300.64,300.64,300.64,301.0,2005-11-17 05:45:00
300.57,300.57,300.57,300.57,301.0,2005-11-20 05:45:00
302.02,302.02,302.02,302.02,302.0,2005-11-21 05:45:00
302.23,302.23,302.23,302.23,302.0,2005-11-22 05:45:00
300.78,300.78,300.78,300.78,301.0,2005-11-23 05:45:00
301.2,301.2,301.2,301.2,301.0,2005-11-24 05:45:00
301.13,301.13,301.13,301.13,301.0,2005-11-27 05:45:00
301.67,301.67,301.67,301.67,302.0,2005-11-28 05:45:00
300.96,300.96,300.96,300.96,301.0,2005-11-29 05:45:00
300.54,300.54,300.54,300.54,301.0,2005-11-30 05:45:00
301.76,301.76,301.76,301.76,302.0,2005-12-01 05:45:00
301.65,301.65,301.65,301.65,302.0,2005-12-04 05:45:00
301.97,301.97,301.97,301.97,302.0,2005-12-05 05:45:00
298.0,298.0,298.0,298.0,298.0,2005-12-06 05:45:00
297.49,297.49,297.49,297.49,297.0,2005-12-07 05:45:00
299.1,299.1,299.1,299.1,299.0,2005-12-08 05:45:00
